Date,Breakfast,Lunch,Dinner,Dessert,Sleep Score,P Times
2024-08-01,271,284,352,140,93,10
2024-08-02,247,304,345,150,90,6
2024-08-03,271,279,395,95,87,8
2024-08-04,232,322,419,189,89,8
2024-08-05,267,302,361,219,95,10
2024-08-06,258,311,549,152,86,6
2024-08-07,260,273,512,139,92,10
2024-08-08,264,289,380,141,87,10
2024-08-09,254,286,536,181,95,6
2024-08-10,251,288,467,181,87,6
2024-08-11,226,280,366,101,93,10
2024-08-12,226,326,412,135,90,8
2024-08-13,260,318,322,98,92,10
2024-08-14,265,272,545,135,87,10
2024-08-15,235,286,323,108,94,10
2024-08-16,266,292,506,186,93,10
2024-08-17,226,299,470,105,93,6
2024-08-18,261,286,350,98,93,10
2024-08-19,252,301,422,219,91,8
2024-08-20,363,749,733,315,60,4
2024-08-21,257,282,381,145,86,10
2024-08-22,272,303,459,185,90,10
2024-08-23,254,282,395,192,95,6
2024-08-24,243,322,374,215,91,10
2024-08-25,267,319,373,90,91,6
2024-08-26,270,302,380,163,88,8
2024-08-27,263,302,317,100,87,10
2024-08-28,248,284,371,102,95,8
2024-08-29,254,318,376,159,92,6
2024-08-30,233,303,348,206,95,8
2024-08-31,265,283,391,135,92,8
2024-09-01,251,318,406,106,85,6
2024-09-02,261,279,478,214,86,8
2024-09-03,248,278,367,164,90,6
2024-09-04,251,277,338,155,89,6
2024-09-05,259,329,325,163,89,10
2024-09-06,257,324,315,104,90,8
2024-09-07,238,319,546,199,89,6
2024-09-08,238,288,387,97,95,8
2024-09-09,271,321,375,150,94,10
2024-09-10,267,318,382,152,87,6
2024-09-11,259,313,412,191,91,10
2024-09-12,228,312,453,91,88,6
2024-09-13,266,308,355,194,86,10
2024-09-14,350,762,759,318,65,4
2024-09-15,233,319,430,181,87,8
2024-09-16,266,313,315,139,94,10
2024-09-17,341,776,724,271,66,4
2024-09-18,243,326,379,214,93,8
2024-09-19,238,285,366,137,87,6
2024-09-20,235,273,525,211,88,10
2024-09-21,263,315,317,157,93,8
2024-09-22,265,309,338,105,86,10
2024-09-23,232,295,361,137,89,8
2024-09-24,269,272,515,93,89,6
2024-09-25,250,301,429,162,90,10
2024-09-26,248,276,501,144,91,10
2024-09-27,270,278,362,195,91,10
2024-09-28,247,302,385,156,94,6
2024-09-29,239,317,535,164,90,10
2024-09-30,234,316,413,183,92,10
2024-10-01,272,291,383,158,91,10
2024-10-02,373,753,684,312,61,4
2024-10-03,270,299,549,206,93,6
2024-10-04,226,310,343,157,87,6
2024-10-05,259,280,524,103,95,8
2024-10-06,233,304,414,103,90,10
2024-10-07,250,288,348,91,88,8
2024-10-08,241,313,342,209,86,8
2024-10-09,236,295,453,215,93,8
2024-10-10,225,294,474,208,92,6
2024-10-11,245,274,534,162,91,10
2024-10-12,232,318,370,206,91,8
2024-10-13,233,319,326,162,88,8
2024-10-14,253,325,375,211,95,6
2024-10-15,270,328,363,200,88,10
2024-10-16,252,323,545,144,95,6
2024-10-17,272,271,409,211,87,10
2024-10-18,240,309,457,189,92,10
2024-10-19,272,275,549,151,94,10
2024-10-20,378,781,690,274,69,4
2024-10-21,259,323,368,205,93,10
2024-10-22,259,305,369,153,92,8
2024-10-23,231,280,434,207,91,10
2024-10-24,235,322,414,192,87,10
2024-10-25,229,274,343,92,91,6
2024-10-26,267,276,364,108,93,8
2024-10-27,251,277,395,96,95,8
2024-10-28,247,292,336,160,94,6
2024-10-29,228,308,526,95,89,6
